sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1978,3,1,5,1,1,1,3,-0.3,-0.05,,r
f,,1,3,3,1,1,10,1,-0.35,0.28,23,r
m,1989,1,2,7,6,8,1,2,0.18,-0.8,0,r
m,1970,1,2,1,5,8,6,1,0.15,-0.58,,r
m,1977,3,1,8,5,8,11,3,-0.08,-0.35,0,r
m,1988,1,1,9,,1,,1,-0.03,-0.63,0,r
m,1990,1,1,16,3,1,2,2,0.05,-0.38,32,r
m,,1,1,7,7,8,2,2,0.8,-0.93,32,r
m,,1,1,7,6,1,1,1,0.38,-0.53,,r
m,1987,5,1,6,7,8,11,2,-0.75,-0.75,32,r
m,1977,1,1,14,3,8,11,1,0.23,-0.55,32,r
m,1975,1,1,5,6,1,11,1,0.18,-0.33,32,r
m,1983,1,1,6,4,8,11,1,-0.08,-0.53,43,r
m,,3,2,6,1,8,11,1,0.05,-0.4,43,r
m,1986,3,3,6,5,8,6,3,-0.08,-0.33,0,r
m,1985,1,2,4,4,8,11,4,0.25,-0.73,0,r
m,1992,1,2,6,7,8,1,3,-0.18,-0.75,,r
m,1995,3,2,6,2,9,6,3,-0.28,-0.35,0,r
f,1972,1,1,7,7,1,7,2,-0.33,-0.28,,r
f,1993,1,2,2,1,8,10,1,-0.33,-0.68,12,r
m,1991,1,2,10,2,8,7,3,-0.18,-0.1,12,r
m,1987,3,4,4,3,8,2,1,0.43,-0.68,,r
f,1981,1,1,2,4,8,6,3,0.08,-0.5,0,r
m,1986,1,2,10,5,8,,3,-0.13,-0.3,0,r
m,1989,1,2,6,7,8,1,1,-0.1,-0.65,0,r
f,1972,6,4,16,1,8,11,1,-0.23,-0.35,,r
f,1991,3,2,2,,9,11,3,-0.28,-0.05,,r
m,1980,3,1,6,5,8,11,3,-0.08,-0.35,0,r
m,1987,1,1,6,6,8,11,3,0.25,-0.53,0,r
m,1988,1,2,10,7,8,10,2,0.13,-0.25,0,r
,1965,1,1,8,3,8,11,1,-0.23,-0.38,,r
m,1973,1,1,7,3,8,2,1,-0.28,-0.43,12,r
m,1989,2,2,10,4,1,11,1,-0.18,-0.28,14,r
m,1980,1,1,6,7,1,2,3,0.03,-0.4,0,r
m,1975,1,1,5,,,,,0.05,-0.33,,r
m,1991,1,2,6,6,8,11,3,-0.25,-0.73,,r
m,1976,2,1,10,5,1,10,1,-0.28,-0.13,0,r
f,1979,2,4,2,3,8,10,1,-0.48,-0.4,,r
f,1989,1,4,9,1,8,6,2,-0.33,-0.68,0,r
m,1990,1,2,6,4,8,11,2,-0.18,-0.33,0,r
m,1994,3,2,16,2,8,10,1,-0.23,-0.5,0,r
m,1994,3,2,9,1,1,1,2,-0.23,-0.38,0,r
m,1990,1,1,10,5,8,11,2,-0.03,-0.75,0,r
m,,1,1,5,,8,,1,0.3,-0.6,,r
f,1979,1,1,10,6,1,6,2,0,-0.63,0,r
f,1976,1,1,3,7,2,11,3,-0.5,-0.48,0,r
m,1972,2,1,10,7,2,11,1,0.43,-0.13,,r
f,1996,3,2,9,1,3,11,1,-0.1,-0.03,32,r
m,1987,1,2,5,,8,2,3,-0.2,-0.7,0,r
f,1990,1,2,16,5,8,1,3,0.13,-0.73,0,r
f,1993,3,2,14,4,1,11,2,-0.13,-0.23,0,r
m,1983,1,4,5,7,8,11,1,-0.53,-0.78,,r
f,1985,1,1,6,5,8,5,3,-0.05,-0.65,63,r
m,1993,1,2,8,5,8,11,2,-0.1,-0.45,0,r
m,1989,1,1,10,6,8,11,1,-0.28,-0.6,0,r
m,1994,1,2,9,6,8,1,3,-0.05,-0.28,0,r
f,1977,1,1,2,1,8,11,1,-0.33,-0.48,,r
m,1975,3,1,6,7,8,11,3,0.08,-0.63,,r
m,1966,1,1,10,2,1,6,3,0.13,-0.4,14,r
m,1964,1,3,8,2,2,1,2,0.28,-0.33,,r
m,,1,1,6,4,1,1,3,0,-0.53,46,r
m,1975,1,1,11,1,1,11,1,-0.08,0.1,46,r
m,1982,1,1,6,7,8,2,1,-0.08,-0.58,46,r
m,,1,3,8,5,9,1,2,-0.03,-0.28,,r
m,1968,1,3,2,1,2,1,3,0.3,-0.7,0,r
m,,1,3,5,4,8,1,2,0.05,-0.18,,r
m,1971,1,4,6,4,8,11,1,-0.13,-0.88,0,r
m,1968,,,5,,,,,-0.05,-0.43,46,r
m,1966,1,3,2,1,1,11,3,-0.33,-0.8,0,r
m,,1,2,16,6,8,11,1,0.18,-0.33,0,r
m,1962,1,4,16,4,9,11,1,-0.05,-0.45,,r
m,1991,1,2,3,4,9,11,1,0.13,-0.53,0,r
m,1992,1,4,9,1,8,3,1,0.1,-0.38,0,r
f,1973,3,1,5,,,,1,-0.05,-0.55,,r
m,1967,1,4,7,6,8,11,3,0.9,-0.7,0,r
f,1988,5,1,8,,8,6,3,-0.28,-0.28,,r
m,1982,1,1,2,4,8,11,3,-0.1,-0.43,0,r
m,1992,1,2,6,7,8,11,3,-0.08,-0.35,0,r
m,1989,3,2,6,5,8,5,3,-0.38,-0.38,61,r
m,1987,1,2,6,7,8,2,3,0.13,-0.48,63,r
m,1983,1,1,8,7,2,2,1,0.33,-0.75,32,r
m,1988,1,1,14,3,8,3,1,-0.03,-0.2,32,r
m,1980,1,1,8,5,1,6,1,-0.35,-0.05,46,r
m,,1,2,13,1,8,2,1,0.3,-0.43,,r
m,1980,1,1,14,6,8,1,2,0.15,0.25,,r
m,1985,1,1,6,5,1,10,1,0.1,-0.43,32,r
m,1979,1,1,8,3,8,11,1,-0.58,-0.1,48,r
f,,1,2,5,3,8,11,3,-0.23,-0.25,26,r
f,1988,1,2,7,5,1,8,1,-0.1,-0.08,,r
m,1966,1,1,14,6,8,11,1,0.03,-0.43,,r
m,1988,1,1,6,5,9,6,3,0.18,-0.48,0,r
m,1990,1,2,6,7,8,11,2,0.35,-0.73,0,r
m,1969,5,1,2,2,9,11,3,0.1,-0.38,0,r
f,1975,5,4,12,2,1,6,3,-0.4,0.25,68,r
m,1982,1,2,6,5,8,6,3,-0.08,-0.63,0,r
m,1973,5,2,4,4,8,11,1,0.28,-0.68,,r
m,,1,1,5,4,8,11,1,0.4,-0.5,0,r
m,1980,3,1,6,7,8,11,1,-0.18,-0.48,0,r
m,,5,4,13,1,8,1,1,-0.1,-0.48,,r
m,1973,3,1,16,7,1,10,3,-0.33,-0.1,21,r
f,1974,3,1,12,1,1,11,2,-0.05,-0.75,0,r
m,,1,1,6,3,4,2,1,-0.23,-0.53,,r
f,1989,1,1,14,6,8,11,1,-0.23,-0.4,,r
m,1961,1,1,16,7,8,2,1,-0.2,-0.18,,r
m,1964,1,1,7,6,1,11,3,-0.15,-0.5,0,r
m,1993,1,2,9,4,4,1,2,0.08,-0.38,0,r
f,1995,4,3,1,1,9,6,3,0,0.4,,r
m,1978,1,1,6,7,8,11,3,0.78,-0.55,0,r
m,1989,1,1,6,5,8,11,3,-0.08,-0.48,0,r
m,1982,3,1,6,3,1,11,1,0.23,-0.48,0,r
f,1993,1,2,6,4,8,1,1,0.63,-0.7,0,r
m,1976,1,1,3,7,8,11,1,-0.05,-0.65,0,r
m,1982,1,1,6,7,8,11,1,-0.55,0.05,,r
m,,1,1,13,3,8,11,1,-0.03,-0.35,0,r
m,1987,1,1,3,6,1,11,4,-0.2,-0.3,0,r
m,,1,1,2,,8,,1,-0.25,-0.83,0,r
f,1976,1,2,2,4,8,11,1,-0.28,-0.7,0,r
f,1988,1,4,7,7,8,11,3,-0.2,-0.15,,r
m,1987,3,2,6,7,8,11,2,-0.2,-0.7,0,r
m,1985,2,1,10,7,8,6,1,-0.13,-0.45,0,r
m,1978,1,1,10,7,8,11,1,-0.13,-0.73,,r
f,1980,1,3,13,4,8,6,1,-0.13,-0.45,,r
m,1977,1,1,6,6,8,11,1,0.3,-0.68,0,r
f,1966,1,3,4,5,8,11,1,-0.25,-0.53,12,r
m,1983,1,3,11,5,8,11,1,0.2,0,0,r
m,1974,1,1,6,7,8,11,1,-0.38,-0.25,0,r
m,1972,3,4,2,4,8,6,2,-0.2,-0.7,0,r
f,1978,5,2,13,1,9,11,1,0.05,-0.55,0,r
m,1974,1,1,11,5,8,10,1,0.13,-0.6,32,r
f,1983,1,1,6,7,8,11,2,0.23,-0.05,32,r
f,1982,3,1,16,2,1,1,3,0,-0.75,71,r
m,1986,1,1,7,5,1,11,3,-0.25,0.23,,r
m,,1,1,6,6,8,6,3,0,-0.3,32,r
f,1970,1,1,1,1,9,11,3,-0.18,-0.05,32,r
f,1964,1,1,12,4,8,11,3,-0.15,-0.4,,r
m,1995,3,4,9,1,8,11,2,-0.3,-0.55,,r
m,1992,1,1,6,6,8,11,1,-0.2,-0.45,14,r
m,1974,1,1,4,3,1,11,1,-0.1,-0.2,14,r
f,,1,,5,,9,11,,-0.28,0.15,,r
f,1963,1,1,5,3,1,11,3,-0.28,0.13,,r
m,1996,3,2,9,3,4,8,1,0.8,0.48,0,r
m,,1,2,4,4,1,2,2,0.13,-0.23,32,r
m,1982,5,1,8,1,8,2,1,-0.25,-0.33,32,r
m,,3,1,2,3,8,10,1,-0.13,-0.43,32,r
f,,3,1,5,6,8,7,2,-0.43,-0.05,,r
f,1985,1,2,4,7,8,11,1,-0.2,-0.53,,r
f,1981,1,1,5,,,11,3,-0.2,-0.13,43,r
m,1963,1,1,5,5,8,11,1,0.1,-0.08,,r
f,1991,1,2,9,1,1,6,2,-0.35,-0.4,,r
f,1990,1,2,9,5,8,11,3,-0.38,-0.63,0,r
f,1990,1,2,9,5,8,11,3,-0.28,-0.85,,r
m,1987,1,2,16,5,9,11,2,-0.05,-0.6,32,r
m,1976,1,2,7,6,1,11,1,-0.35,-0.18,,r
m,1987,1,2,16,7,1,11,2,0.15,0,0,r
m,1985,1,1,6,5,8,1,2,0.05,-0.6,,r
f,,1,1,6,7,8,1,3,-0.05,-0.6,,r
m,1963,1,1,11,3,1,2,1,-0.08,-0.23,12,r
m,1963,1,1,5,4,1,2,1,0.15,-0.3,,r
m,1978,1,1,6,,8,11,1,0.25,-0.4,0,r
f,1989,1,1,16,5,1,1,1,-0.15,-0.4,32,r
m,1984,1,1,4,6,8,11,3,-0.6,-0.28,,r
m,1978,1,1,6,7,8,11,2,0.28,-0.13,,r
m,1960,1,,2,7,1,7,2,-0.13,-0.28,,r
m,1979,1,1,4,6,8,11,3,0.18,-0.53,,r
m,1974,1,1,5,6,1,5,1,0.3,-0.7,,r
f,1969,1,3,8,3,1,2,1,-0.05,-0.65,,r
m,1985,1,1,1,3,3,11,1,-0.38,-0.58,0,r
m,,,3,5,,8,,3,0.1,-0.4,,r
m,1978,1,3,7,5,8,11,2,-0.55,-0.43,0,r
f,1994,1,2,6,5,8,11,1,0.33,-0.83,77,r
m,1983,6,1,6,6,8,11,1,-0.13,-0.4,0,r
m,1991,1,2,9,6,8,11,2,0.65,-0.6,0,r
m,1994,3,2,9,1,1,10,1,-0.43,-0.15,0,r
m,,3,1,12,4,3,6,1,-0.08,-0.63,,r
m,1984,1,2,7,7,9,11,4,-0.33,-0.4,0,r
m,1989,1,2,6,5,8,6,1,-0.33,-0.43,,r
m,1976,3,2,16,6,8,11,2,0.3,-0.23,,r
m,1979,5,2,6,4,8,11,3,-0.13,-0.68,,r
m,,2,3,4,2,1,1,2,-0.23,0.2,59,r
m,1977,2,2,4,6,9,6,4,0,-0.5,0,r
m,1992,1,2,8,6,8,1,1,-0.1,-0.55,0,r
m,1973,1,1,3,6,1,11,1,0.15,-0.78,0,r
m,,1,1,6,5,8,11,1,-0.83,-0.43,,r
m,1983,1,2,3,2,8,10,2,0,-0.6,12,r
f,1963,3,3,13,1,1,10,1,-0.28,0.13,,r
m,1959,4,1,16,1,8,11,4,-0.28,0.1,,r
m,1980,1,4,6,6,9,1,1,0.15,-0.38,32,r
m,1986,3,2,2,3,9,2,1,0.15,-0.53,32,r
f,,2,1,16,,8,10,2,-0.23,-0.55,,r
m,1995,3,2,9,2,8,4,2,0.53,-0.8,32,r
m,1977,1,2,6,3,8,1,3,-0.1,-0.1,32,r
m,1986,1,2,4,3,8,5,1,0.23,-0.5,32,r
m,1975,1,1,11,6,1,10,1,0.25,-0.4,,r
m,,1,3,16,6,9,11,2,-0.18,-0.25,32,r
m,,1,1,11,5,1,2,1,0,-0.13,,r
f,1996,3,2,3,2,9,2,1,-0.4,-0.38,32,r
m,1998,4,2,9,1,8,1,1,-0.05,-0.25,32,r
f,,1,2,2,3,8,,,-0.33,-0.75,32,r
f,1962,1,3,4,3,1,11,3,-0.3,-0.15,32,r
m,1980,2,1,6,3,1,2,1,0.08,-0.4,32,r
f,1979,1,1,11,3,1,2,3,0.13,-0.23,32,r
m,,1,1,6,6,3,10,2,0.03,-0.43,,r
m,1982,3,2,16,3,8,10,1,0.23,-0.8,32,r
m,1982,3,2,2,3,8,10,1,0.28,-0.65,32,r
m,1983,1,1,7,6,8,1,1,0.18,-0.23,32,r
m,1985,1,2,10,3,1,11,1,-0.48,-0.23,,r
f,1980,1,2,5,5,1,7,3,-0.45,-0.25,,r
m,1982,1,1,16,6,8,1,1,-0.1,-0.2,,r
f,1970,2,4,10,2,9,10,1,0.05,-0.1,32,r
m,1987,1,2,6,6,9,2,1,-0.08,-0.45,32,r
m,1971,1,1,7,6,8,3,2,0.03,-0.58,32,r
f,1987,1,1,10,3,8,2,3,-0.08,-0.7,32,r
m,1988,1,2,7,5,3,6,4,-0.2,0.1,32,r
m,1971,1,1,3,5,1,11,2,-0.43,0.2,,r
m,1981,1,1,6,2,1,6,3,-0.28,-0.2,,r
m,,1,2,6,4,8,11,4,-0.03,-0.48,32,r
m,,1,1,6,6,8,,3,0.33,-0.7,,r
m,1985,1,1,2,4,1,1,1,-0.05,-0.4,32,r
m,1978,1,1,6,7,8,2,2,0.08,-0.6,32,r
f,,2,3,3,3,1,10,3,-0.28,-0.2,32,r
m,1988,1,2,8,5,8,11,1,0.25,-0.65,32,r
f,1988,3,2,6,3,8,11,3,0.08,-0.3,32,r
f,,1,1,3,,8,,3,-0.15,-0.4,32,r
m,1986,1,1,6,6,8,11,1,-0.68,-0.7,0,r
f,1992,1,2,16,2,1,2,1,-0.13,-0.4,,r
m,1992,1,2,7,2,8,1,1,-0.23,-0.13,32,r
m,1994,3,4,5,2,8,10,2,0.15,-0.08,,r
f,1981,1,2,8,3,1,10,1,-0.4,-0.3,32,r
f,1984,1,1,7,6,1,6,3,-0.1,-0.28,32,r
m,1988,1,1,6,7,8,1,1,0.05,-0.7,32,r
m,1985,1,1,7,4,1,10,2,0.48,-0.58,32,r
f,1986,1,1,12,2,1,1,4,-0.13,-0.35,,r
f,1978,3,2,2,2,8,11,3,-0.08,-0.15,,r
m,1986,1,2,3,2,1,5,2,0.1,0.5,32,r
m,1979,2,1,16,,1,5,2,-0.05,-0.33,32,r
f,1975,1,1,7,6,8,5,1,0.05,-0.6,32,r
f,1991,1,2,3,,4,11,3,-0.3,0.25,32,r
f,,1,1,10,2,1,2,1,-0.2,-0.38,32,r
f,1983,1,1,6,3,8,2,1,-0.2,-0.6,32,r
f,,2,3,3,3,1,10,3,-0.2,0.15,,r
m,1980,1,1,3,3,2,2,1,0.08,-0.4,32,r
m,1995,3,2,9,1,1,1,2,-0.25,-0.23,32,r
m,1968,1,1,6,6,1,,1,0.05,-0.48,,r
f,1978,1,1,11,7,2,1,1,0.18,-0.6,,r
f,,1,,5,,,,,-0.38,-0.33,,r
m,1994,3,2,9,3,8,2,3,0,-0.35,32,r
f,1985,1,1,3,2,1,1,1,-0.3,-0.4,14,r
f,1987,1,2,14,5,1,1,1,-0.23,0.05,32,r
m,1981,1,2,6,6,8,2,1,0.23,-0.65,32,r
f,1966,1,3,3,3,1,1,3,-0.3,-0.13,32,r
m,,1,2,8,2,1,10,1,-0.18,-0.2,32,r
m,,1,1,7,2,1,10,3,-0.05,-0.2,32,r
f,1993,1,4,16,2,8,10,2,0.03,-0.9,32,r
m,1965,3,2,8,4,1,11,3,-0.1,-0.23,,r
m,1998,3,2,9,1,8,10,2,0.48,-0.95,32,r
m,1994,3,2,9,2,1,2,3,-0.08,-0.2,,r
m,1990,1,2,6,7,3,10,1,0.45,-0.28,32,r
m,1988,1,1,8,2,1,2,2,-0.1,-0.45,,r
m,,1,1,3,2,1,5,1,0.03,-0.23,,r
m,1989,1,2,16,2,1,4,1,-0.28,0.08,32,r
m,1994,3,2,6,6,8,11,3,0.2,-0.25,32,r
m,1970,1,1,7,5,1,11,3,-0.25,-0.3,,r
m,1979,5,1,6,7,8,11,1,-0.83,-0.93,0,r
m,1983,1,1,7,5,8,11,1,0.45,-0.5,,r
f,1956,5,1,5,5,1,1,2,0.1,-0.7,,r
m,1985,1,1,4,5,8,11,1,-0.25,-0.73,0,r
m,,1,,5,,,,,-0.05,-0.4,0,r
m,,3,3,7,3,1,6,1,0.05,-0.08,,r
f,1991,1,2,9,3,1,6,3,-0.35,0.25,,r
m,1995,1,2,9,2,1,11,1,-0.1,0.1,,r
m,1990,3,2,13,1,8,11,2,0.33,-0.65,,r
f,1950,1,1,1,6,8,11,2,-0.28,-0.53,,r
m,,3,3,5,3,8,11,1,-0.23,0.4,,r
f,1986,1,2,9,4,8,11,1,-0.65,-0.8,0,r
f,,3,3,5,1,8,1,1,0.1,-0.53,,r
m,1985,1,2,8,5,8,1,3,-0.25,-0.58,0,r
f,1997,5,2,9,5,1,11,3,-0.3,0.38,0,r
m,,,1,6,,8,,,0.05,-0.4,,r
m,1970,3,4,14,7,1,11,2,-0.08,0.15,0,r
m,1982,1,2,10,6,9,6,2,-0.43,-0.35,,r
m,,1,3,3,2,8,4,2,-0.33,0.05,,r
f,1976,1,4,2,4,8,11,1,-0.35,-0.45,,r
m,1979,1,3,7,4,8,6,,-0.13,-0.3,,r
m,1980,1,4,6,7,9,11,2,-0.05,-0.53,,r
m,1991,3,2,3,5,8,11,3,-0.15,-0.55,0,r
m,1988,1,2,6,6,8,6,1,0.28,-0.73,0,r
m,,1,2,13,3,8,11,3,-0.2,-0.23,0,r
m,1971,5,1,7,7,4,10,1,0,-0.2,,r
f,1985,1,1,14,7,1,5,1,0.18,-0.8,32,r
m,1983,3,3,16,4,9,11,2,-0.05,-0.63,0,r
m,,1,1,11,5,8,11,,-0.18,0.2,0,r
m,1969,1,1,2,4,1,11,1,0.15,-0.58,0,r
f,1989,1,2,6,5,8,11,1,-0.48,-0.6,0,r
m,1992,1,2,7,7,8,11,2,0.4,-0.63,0,r
m,1989,3,2,13,1,8,11,1,0.25,-0.98,0,r
m,1984,3,1,13,5,1,6,2,-0.3,0.25,,r
m,1972,3,1,16,5,8,6,1,0.03,-0.48,0,r
m,,1,1,7,5,8,11,1,0.03,-0.28,,r
f,1964,1,2,4,5,1,1,3,0.08,-0.6,,r
f,1992,1,2,9,1,1,11,1,0,-0.45,12,r
m,1991,1,2,16,5,1,2,2,-0.1,-0.38,0,r
m,1986,1,1,7,4,2,1,2,-0.18,-0.05,,r
m,1987,1,1,9,1,8,11,2,-0.18,-0.63,0,r
m,,3,4,6,7,3,11,2,0.53,-0.55,,r
m,1974,2,1,7,7,5,11,3,0.08,-0.65,0,r
m,1990,1,2,10,4,8,10,1,-0.35,-0.6,61,r
f,1990,1,4,16,5,1,11,4,-0.15,-0.13,0,r
m,1982,1,1,5,6,1,8,2,-0.08,-0.63,0,r
m,1976,5,1,8,6,8,11,3,0.03,-0.2,0,r
,,2,1,10,4,8,5,1,-0.05,-0.65,43,r
m,1986,1,1,11,7,8,6,1,0.15,-0.58,0,r
f,1986,1,1,3,4,8,1,1,-0.45,-0.53,5,r
m,1988,1,2,6,7,8,1,3,-0.13,-0.53,,r
m,1977,1,1,6,6,8,1,3,-0.08,-0.18,0,r
f,1993,3,2,9,3,8,11,1,-0.58,-0.6,12,r
f,1952,1,1,3,4,8,11,1,0.03,-0.38,0,r
m,1976,1,3,2,6,1,1,1,0,-0.28,,r
m,,1,2,4,6,8,10,1,0.28,-0.75,32,r
m,1985,1,1,4,7,8,11,1,0,-0.48,0,r
f,1968,1,4,8,6,2,8,1,-0.13,-0.25,,r
m,,2,1,10,7,8,2,2,0,-0.4,0,r
m,,1,2,9,4,8,11,1,-0.25,-0.45,,r
m,1977,3,1,6,5,8,11,1,-0.03,-0.73,0,r
f,1987,1,2,9,5,8,1,1,-0.03,-0.48,0,r
m,1975,3,4,8,7,1,11,1,-0.45,-0.85,,r
f,1979,6,2,2,1,1,11,3,-0.25,-0.03,,r
m,,3,4,6,7,9,11,3,-0.15,-0.53,0,r
m,1965,1,1,6,7,8,11,1,0.25,-0.9,0,r
f,1970,1,1,12,6,8,11,1,-0.15,-0.33,0,r
f,,1,2,5,,8,11,3,-0.28,-0.58,,r
f,1995,5,2,13,1,8,11,1,-0.28,-0.9,,r
m,1994,3,2,9,6,8,7,4,-0.15,-0.35,0,r
m,1988,1,2,7,7,1,11,2,-0.08,-0.23,32,r
m,1967,1,1,7,7,5,11,1,0.5,-0.6,,r
m,1956,1,1,7,4,1,11,1,-0.07,-0.38,77,r
m,,1,1,8,6,8,10,1,-0.2,-0.73,,r
m,1998,,2,9,7,9,11,2,0,-0.73,,r
f,1966,1,3,12,1,1,11,2,-0.13,-0.5,,r
m,1993,2,2,7,7,8,6,2,-0.03,-0.78,0,r
f,,,2,5,,,,,-0.53,-0.35,,r
m,1990,1,2,9,6,8,11,2,0,-0.48,0,r
f,1986,3,1,8,4,8,11,1,-0.25,-0.73,0,r
m,,1,4,6,5,8,6,2,-0.1,-0.38,0,r
m,1992,1,2,13,2,8,6,2,0.48,-0.2,0,r
m,,1,4,6,6,1,11,3,-0.25,-0.48,,r
m,1980,3,1,6,5,8,11,3,-0.08,-0.58,,r
m,,1,3,2,,8,11,1,-0.1,-0.43,0,r
m,1991,6,2,10,2,8,11,2,0.65,-0.53,0,r
m,,1,3,13,1,8,6,4,-0.1,-0.18,,r
m,,1,3,6,6,8,11,1,-0.15,-0.35,18,r
m,1978,1,3,5,,,1,1,0.23,-0.53,0,r
m,1972,1,1,14,5,8,10,2,-0.1,0.05,0,r
f,1975,1,1,11,5,1,11,3,-0.13,-0.18,,r
m,1984,5,2,8,2,9,11,1,-0.18,-0.53,0,r
f,1987,1,4,10,,9,11,3,-0.18,-0.88,0,r
f,1992,1,2,3,4,1,11,3,-0.33,-0.53,0,r
m,1965,1,1,16,3,8,1,2,-0.03,-0.13,,r
m,1983,1,1,6,,8,11,2,-0.05,-0.55,0,r
f,1977,1,1,7,6,1,11,4,0,-0.25,0,r
m,1990,1,2,6,4,8,6,2,0.05,-0.53,0,r
m,1961,1,3,7,2,1,1,2,-0.1,-0.38,,r
f,,1,1,5,,9,,2,-0.38,-0.6,0,r
f,1978,1,1,6,5,8,11,1,0.15,-0.63,0,r
m,1980,5,2,13,1,8,6,1,0.3,-0.38,0,r
m,1985,2,1,11,6,1,10,3,-0.05,-0.78,32,r
m,,1,1,6,6,8,11,1,0.15,-0.4,0,r
m,1974,1,1,6,7,8,1,1,-0.28,-0.15,,r
m,1987,3,2,16,1,8,10,1,0.58,-0.45,51,r
f,1978,2,1,10,3,1,1,1,-0.4,-0.33,,r
f,1967,1,1,7,2,8,1,2,0.23,-0.23,51,r
m,1954,1,1,2,2,8,2,2,-0.15,-0.2,51,r
f,1954,1,4,5,1,1,1,3,0.1,-0.35,51,r
f,1970,1,1,3,3,8,5,1,-0.4,-0.65,51,r
f,1978,1,1,7,5,8,2,2,0.3,-0.9,51,r
f,1978,1,1,7,5,1,2,2,0.3,-0.9,51,r
f,1954,1,3,5,1,8,2,1,-0.23,-0.35,,r
m,,1,1,10,3,8,2,1,-0.15,-0.38,51,r
f,1986,3,1,2,2,8,11,1,-0.18,-0.6,51,r
f,1986,3,1,6,2,8,11,1,0,-0.58,51,r
m,1986,1,2,6,5,8,11,1,0.1,-0.55,51,r
m,1979,1,1,8,3,1,1,1,-0.15,-0.03,51,r
m,1980,1,1,14,5,8,2,3,0.15,-0.18,,r
m,1987,1,1,10,3,1,2,2,-0.2,-0.8,,r
m,1958,1,1,11,4,8,1,1,0.1,-0.3,32,r
m,1986,2,1,6,7,8,5,1,0.48,-0.5,32,r
m,1987,1,2,6,5,8,1,1,0.35,-0.48,32,r
f,1994,1,1,6,2,8,2,1,0.35,-0.78,32,r
m,1985,1,1,6,7,3,1,3,0,-0.48,46,r
m,1989,1,2,16,4,9,11,2,-0.15,-0.2,43,r
f,1981,1,2,6,6,8,11,2,-0.15,-0.78,,r
m,1984,1,1,4,6,1,11,1,-0.03,-0.5,9,r
f,,1,3,6,5,1,6,1,-0.23,-0.4,0,r
m,1988,1,2,6,6,8,5,1,-0.03,-0.65,0,r
m,,3,1,2,5,1,11,2,-0.43,-0.85,,r
m,1981,5,2,14,7,8,10,3,0.23,-0.73,,r
f,,1,3,5,5,2,11,1,-0.4,-0.1,43,r
m,1986,5,1,4,4,1,11,3,-0.03,0.03,43,r
f,1962,1,4,8,2,8,11,2,-0.15,-0.78,,r
m,1989,1,1,8,3,1,3,1,-0.2,-0.13,0,r
f,1984,1,2,3,6,1,11,1,-0.15,-0.83,32,r
m,1994,5,4,7,3,8,6,1,0.43,-0.95,0,r
m,1975,1,1,4,4,8,11,3,-0.4,-0.13,,r
f,1982,5,1,2,3,8,11,3,-0.18,-0.25,,r
m,1989,3,1,2,4,8,2,2,0.55,-0.6,0,r
m,,2,2,2,3,8,11,4,0.08,-0.63,0,r
f,1961,1,1,5,7,8,11,1,-0.38,-0.5,,r
m,,1,1,4,5,8,6,1,0.25,-0.75,,r
m,1989,1,2,6,4,8,6,2,-0.08,-0.55,0,r
m,1986,1,1,14,4,8,1,2,-0.1,-0.68,32,r
m,1991,1,1,4,4,1,1,2,0.48,-0.65,32,r
f,1986,1,3,13,1,1,8,2,0.05,0.13,,r
m,,1,3,13,1,1,1,1,0.18,-0.18,46,r
f,1983,1,1,16,2,1,1,2,-0.13,0,,r
m,,1,1,5,1,1,1,1,-0.23,-0.13,65,r
m,1980,1,4,4,2,8,11,1,-0.68,-0.15,,r
m,1992,5,2,13,1,8,11,1,-0.45,-0.8,5,r
m,,1,2,14,1,1,2,1,-0.15,-0.05,5,r
f,1978,1,3,2,3,1,1,,-0.15,-0.68,32,r
m,1972,1,1,8,3,9,10,1,0.3,-0.15,,r
m,1992,1,2,9,1,1,2,1,-0.1,-0.2,63,r
f,1963,1,3,14,2,1,10,1,-0.2,-0.05,56,r
m,1994,1,4,9,1,9,10,1,-0.2,0.05,61,r
m,1993,1,2,7,3,8,2,1,0.03,-0.23,21,r
f,1975,1,2,8,2,8,2,1,-0.08,-0.6,68,r
m,1970,1,1,2,4,1,1,1,-0.25,0.2,56,r
m,,1,1,1,1,1,2,1,-0.18,-0.3,,r
m,1994,1,2,10,2,9,10,2,0.13,-0.68,61,r
m,1995,3,2,9,1,8,10,2,0.48,-0.25,46,r
m,1996,3,2,3,1,1,11,2,-0.13,0.03,,r
f,1982,1,4,16,1,1,1,1,-0.23,0.03,56,r
m,,1,2,9,,2,2,1,-0.08,-0.25,,r
f,1969,1,3,16,4,8,2,1,0.03,-0.85,,r
m,1974,1,1,1,4,8,2,1,0.03,-0.2,,r
m,1965,4,1,7,,1,11,2,-0.08,-0.28,21,r
m,1976,1,2,5,1,1,11,1,-0.23,0.15,,r
m,,3,1,13,2,1,10,1,0.25,-0.13,21,r
f,1967,2,4,3,2,8,11,2,0.2,-0.05,,r
m,1986,1,1,6,7,8,2,3,0.25,-0.35,46,r
f,1969,1,3,16,2,4,11,1,0,-0.48,,r
m,1997,3,2,9,,1,1,3,-0.25,0,21,r
f,1962,1,1,8,3,8,2,1,0.2,-0.38,,r
m,1962,1,1,7,1,8,,,-0.03,-0.48,5,r
