sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1958,1,3,16,3,8,11,2,-0.1,-0.38,0,r
m,1976,1,1,11,7,8,11,2,0.23,-0.65,0,r
m,1970,1,1,4,6,6,2,2,0.2,-0.23,,r
m,1985,5,2,6,6,4,1,1,0.05,-0.28,32,r
m,1987,1,2,6,6,8,1,1,0.35,-0.5,63,r
m,1985,1,2,6,4,8,11,1,0.18,-0.4,32,r
f,1979,1,1,10,2,1,2,1,-0.08,-0.5,32,r
m,,1,1,8,5,8,10,1,0.25,-0.45,,r
f,1988,1,4,6,2,2,6,3,-0.23,-0.4,12,r
m,1959,1,1,15,4,1,1,3,-0.08,-0.18,,r
m,1986,1,1,6,4,8,1,3,-0.2,-0.2,,r
m,1968,1,1,5,3,1,2,1,0.03,-0.13,63,r
f,1990,3,2,2,3,8,11,3,0,-0.75,0,r
m,,5,1,8,3,8,6,3,0,0,,r
m,,5,2,5,3,8,6,3,0,0.4,,r
m,,5,1,15,3,8,6,3,0,-0.4,,r
m,1991,1,1,6,5,8,6,4,0.03,-0.38,63,r
m,1975,1,1,11,5,8,11,3,-0.03,-0.3,32,r
m,1981,1,1,4,3,8,6,3,0,-0.13,32,r
m,1994,1,2,6,3,8,11,3,-0.1,-0.65,12,r
m,1988,1,1,6,6,1,2,1,0.05,-0.28,32,r
f,1982,1,1,3,7,1,11,1,-0.13,-0.63,0,r
f,1974,3,3,11,2,9,10,3,-0.3,-0.08,,r
m,1971,1,3,11,7,1,6,3,-0.05,-0.4,,r
m,1972,3,2,5,6,9,11,,-0.1,-0.5,,r
m,,1,1,5,1,1,,3,-0.28,-0.13,,r
m,1966,1,1,1,6,1,11,2,0.45,-0.6,0,r
m,,1,1,6,5,1,5,1,0.15,0.1,32,r
m,1985,1,2,7,3,1,2,1,-0.05,-0.35,32,r
m,1965,1,2,2,1,9,11,1,-0.13,0.03,,r
m,1990,3,2,13,1,8,3,1,-0.15,-0.03,32,r
m,1974,5,1,16,5,8,11,2,0,-0.2,46,r
m,,1,2,13,1,8,6,2,0.15,-0.48,,r
m,1975,5,1,6,5,9,11,1,0.28,-0.35,,r
m,1963,1,1,6,7,8,6,1,0.08,-0.63,0,r
f,1994,3,2,9,3,8,10,2,-0.3,-0.8,32,r
m,1980,1,1,6,7,8,5,1,-0.05,-0.1,12,r
m,1987,1,1,7,3,1,11,1,-0.25,0.28,32,r
m,1971,1,2,10,1,1,11,1,0.7,-0.45,,r
m,1977,1,2,3,3,8,5,2,-0.6,-0.53,32,r
m,1979,1,1,11,2,8,10,3,0.23,-0.08,,r
m,1972,1,2,16,5,8,11,1,0.2,-0.3,,r
m,1991,1,2,2,2,1,2,1,-0.15,-0.18,32,r
