year,country,gdp,%,countryu,gdpu,%_ukr
2008,Tajikistan,1894.952,4.5,Ukraine,8816.413,-13.6
2009,Tajikistan,1942.759,4.5,Ukraine,7568.509,-13.6
2010,Tajikistan,2070.449,4.5,Ukraine,7712.059,-13.6
2011,Tajikistan,2216.002,4.5,Ukraine,8327.929,-13.6
2012,Tajikistan,2376.185,4.5,Ukraine,8516.684,-13.6
2013,Tajikistan,2540.278,4.5,Ukraine,9151.217,-13.6
2014,Tajikistan,2698.338,4.5,Ukraine,8242.064,-13.6
2015,Tajikistan,2749.403,4.5,Ukraine,7518.823,-13.6
2016,Tajikistan,2932.675107,4.5,Ukraine,6558.3278031703,-13.6
2017,Tajikistan,3128.163927,4.5,Ukraine,5720.5314680019,-13.6
2018,Tajikistan,3336.683811,4.5,Ukraine,4989.7597769634,-13.6
2019,Tajikistan,3559.103395,4.5,Ukraine,4352.3408220143,-13.6
2020,Tajikistan,3796.349219,4.5,Ukraine,3796.3492187393,-13.6
2021,Tajikistan,4049.409582,4.5,Ukraine,4049.4095816688,-13.6
2022,Tajikistan,4319.338663,4.5,Ukraine,4319.3386633583,-13.6
2023,Tajikistan,4607.260914,4.5,Ukraine,4607.2609136005,-13.6
2024,Tajikistan,4914.375737,4.5,Ukraine,4914.3757367446,-13.6
2025,Tajikistan,5241.962488,4.5,Ukraine,5241.9624880829,-13.6
2026,Tajikistan,5591.385803,4.5,Ukraine,5591.3858032902,-13.6
2027,Tajikistan,5964.101283,4.5,Ukraine,5964.1012831188,-13.6
2028,Tajikistan,6361.661557,4.5,Ukraine,6361.6615570272,-13.6
2029,Tajikistan,6785.722751,4.5,Ukraine,6785.7227510051,-13.6
2030,Tajikistan,7238.051387,4.5,Ukraine,7238.0513865352,-13.6
2031,Tajikistan,7720.531739,4.5,Ukraine,7720.5317394325,-13.6
2032,Tajikistan,8235.173689,4.5,Ukraine,8235.1736892155,-13.6
2033,Tajikistan,8784.121092,4.5,Ukraine,8784.1210917076,-13.6
2034,Tajikistan,9369.66071,4.5,Ukraine,9369.6607097467,-13.6
2035,Tajikistan,9994.231739,4.5,Ukraine,9994.2317392059,-13.6
2036,Tajikistan,10660.43597,4.5,Ukraine,10660.4359700075,-13.6
2037,Tajikistan,11371.04862,4.5,Ukraine,11371.0486244598,-13.6
2038,Tajikistan,12129.02992,4.5,Ukraine,12129.0299180642,-13.6
2039,Tajikistan,12937.53739,4.5,Ukraine,12937.5373909533,-13.6
2040,Tajikistan,13799.93906,4.5,Ukraine,13799.9390613284,-13.6
1992,Turkmenistan,2991.946,6.5,Ukraine,6136.614,33
1993,Turkmenistan,2729.252,6.5,Ukraine,5368.863,33
1994,Turkmenistan,2246.824,6.5,Ukraine,4269.102,33
1995,Turkmenistan,2081.525,6.5,Ukraine,3861.047,33
1996,Turkmenistan,1940.586,6.5,Ukraine,3577.554,33
1997,Turkmenistan,1723.193,6.5,Ukraine,3553.328,33
1998,Turkmenistan,1833.521,6.5,Ukraine,3557.193,33
1999,Turkmenistan,2142.334,6.5,Ukraine,3635.86,33
2000,Turkmenistan,2568.323,6.5,Ukraine,3975.704,33
2001,Turkmenistan,3127.51,6.5,Ukraine,4480.447,33
2002,Turkmenistan,3637.554,6.5,Ukraine,4834.009,33
2003,Turkmenistan,4299.604,6.5,Ukraine,5442.968,33
2004,Turkmenistan,5014.227,6.5,Ukraine,6297.662,33
2005,Turkmenistan,5787.661,6.5,Ukraine,6750.262,33
2006,Turkmenistan,6545.631,6.5,Ukraine,7530.139,33
2007,Turkmenistan,7375.821,6.5,Ukraine,8415.153,33
2008,Turkmenistan,8525.504,6.5,Ukraine,8816.413,33
2009,Turkmenistan,9004.622,6.5,Ukraine,7568.509,33
2010,Turkmenistan,9825.129,6.5,Ukraine,7712.059,33
2011,Turkmenistan,11360.511,6.5,Ukraine,8327.929,33
2012,Turkmenistan,12683.759,6.5,Ukraine,8516.684,33
2013,Turkmenistan,14022.488,6.5,Ukraine,9151.217,33
2014,Turkmenistan,15501.709,6.5,Ukraine,8242.064,33
2015,Turkmenistan,16444.54,6.5,Ukraine,7518.823,33
2016,Turkmenistan,18876.57884,6.5,Ukraine,10093.1282471148,33
2017,Turkmenistan,21668.30016,6.5,Ukraine,13548.8277636947,33
2018,Turkmenistan,24872.89861,6.5,Ukraine,18187.6945656308,33
2019,Turkmenistan,28551.43602,6.5,Ukraine,24414.823140572,33
2020,Turkmenistan,32774.0048,6.5,Ukraine,32774.0047994771,33
2021,Turkmenistan,37621.06361,6.5,Ukraine,37621.0636137509,33
2022,Turkmenistan,43184.97041,6.5,Ukraine,43184.9704083912,33
2023,Turkmenistan,49571.74226,6.5,Ukraine,49571.7422644045,33
2024,Turkmenistan,56903.07549,6.5,Ukraine,56903.07548876,33
2025,Turkmenistan,65318.66447,6.5,Ukraine,65318.6644683369,33
2026,Turkmenistan,74978.86347,6.5,Ukraine,74978.8634670536,33
2027,Turkmenistan,86067.74209,6.5,Ukraine,86067.7420852081,33
2028,Turkmenistan,98796.5926,6.5,Ukraine,98796.5926010721,33
2029,Turkmenistan,113407.956,6.5,Ukraine,113407.956025138,33
2030,Turkmenistan,130180.2436,6.5,Ukraine,130180.243581195,33
2031,Turkmenistan,149433.0417,6.5,Ukraine,149433.041673926,33
2032,Turkmenistan,171533.2014,6.5,Ukraine,171533.201426173,33
2033,Turkmenistan,196901.8288,6.5,Ukraine,196901.828818533,33
2034,Turkmenistan,226022.3086,6.5,Ukraine,226022.308624428,33
2035,Turkmenistan,259449.515,6.5,Ukraine,259449.515032173,33
2036,Turkmenistan,297820.3845,6.5,Ukraine,297820.384457195,33
2037,Turkmenistan,341866.052,6.5,Ukraine,341866.052003344,33
2038,Turkmenistan,392425.7828,6.5,Ukraine,392425.782826665,33
2039,Turkmenistan,450462.9639,6.5,Ukraine,450462.963855839,33
2040,Turkmenistan,517083.4606,6.5,Ukraine,517083.460582446,33
1992,Uzbekistan,1768.668,6,Ukraine,6136.614,3.3
1993,Uzbekistan,1728.388,6,Ukraine,5368.863,3.3
1994,Uzbekistan,1641.101,6,Ukraine,4269.102,3.3
1995,Uzbekistan,1630.446,6,Ukraine,3861.047,3.3
1996,Uzbekistan,1656.257,6,Ukraine,3577.554,3.3
1997,Uzbekistan,1717.52,6,Ukraine,3553.328,3.3
1998,Uzbekistan,1783.762,6,Ukraine,3557.193,3.3
1999,Uzbekistan,1861.889,6,Ukraine,3635.86,3.3
2000,Uzbekistan,1950.823,6,Ukraine,3975.704,3.3
2001,Uzbekistan,2054.1,6,Ukraine,4480.447,3.3
2002,Uzbekistan,2142.545,6,Ukraine,4834.009,3.3
2003,Uzbekistan,2252.426,6,Ukraine,5442.968,3.3
2004,Uzbekistan,2464.709,6,Ukraine,6297.662,3.3
2005,Uzbekistan,2691.878,6,Ukraine,6750.262,3.3
2006,Uzbekistan,2943.423,6,Ukraine,7530.139,3.3
2007,Uzbekistan,3258.945,6,Ukraine,8415.153,3.3
2008,Uzbekistan,3561.289,6,Ukraine,8816.413,3.3
2009,Uzbekistan,3814.293,6,Ukraine,7568.509,3.3
2010,Uzbekistan,4115.578,6,Ukraine,7712.059,3.3
2011,Uzbekistan,4455.383,6,Ukraine,8327.929,3.3
2012,Uzbekistan,4802.915,6,Ukraine,8516.684,3.3
2013,Uzbekistan,5185.398,6,Ukraine,9151.217,3.3
2014,Uzbekistan,5629.941,6,Ukraine,8242.064,3.3
2015,Uzbekistan,6068.447,6,Ukraine,7518.823,3.3
2016,Uzbekistan,6604.99499,6,Ukraine,7840.2575772904,3.3
2017,Uzbekistan,7188.982422,6,Ukraine,8175.4336919834,3.3
2018,Uzbekistan,7824.603705,6,Ukraine,8524.9388037473,3.3
2019,Uzbekistan,8516.424097,6,Ukraine,8889.3854865338,3.3
2020,Uzbekistan,9269.412502,6,Ukraine,9269.4125022297,3.3
2021,Uzbekistan,10088.97715,6,Ukraine,10088.9771523292,3.3
2022,Uzbekistan,10981.00445,6,Ukraine,10981.0044547846,3.3
2023,Uzbekistan,11951.90127,6,Ukraine,11951.9012696111,3.3
2024,Uzbekistan,13008.64093,6,Ukraine,13008.6409259481,3.3
2025,Uzbekistan,14158.81331,6,Ukraine,14158.8133070112,3.3
2026,Uzbekistan,15410.67936,6,Ukraine,15410.6793633544,3.3
2027,Uzbekistan,16773.23045,6,Ukraine,16773.2304459808,3.3
2028,Uzbekistan,18256.25289,6,Ukraine,18256.2528854495,3.3
2029,Uzbekistan,19870.39828,6,Ukraine,19870.3982808123,3.3
2030,Uzbekistan,21627.26,6,Ukraine,21627.2600032175,3.3
2031,Uzbekistan,23539.45646,6,Ukraine,23539.4564636603,3.3
2032,Uzbekistan,25620.72174,6,Ukraine,25620.7217429358,3.3
2033,Uzbekistan,27886.00423,6,Ukraine,27886.004234733,3.3
2034,Uzbekistan,30351.57401,6,Ukraine,30351.5740103595,3.3
2035,Uzbekistan,33035.13968,6,Ukraine,33035.1396762296,3.3
2036,Uzbekistan,35955.97556,6,Ukraine,35955.9755634258,3.3
2037,Uzbekistan,39135.06016,6,Ukraine,39135.0601628583,3.3
2038,Uzbekistan,42595.2268,6,Ukraine,42595.2268003104,3.3
2039,Uzbekistan,46361.32763,6,Ukraine,46361.3276335735,3.3
2040,Uzbekistan,50460.41215,6,Ukraine,50460.4121495576,3.3
